name_alessi,E(B-V),s_E(B-V),A_V_calc,s_A_V_calc,AV50,s_AV50,E(BP-RP),s_E(BP-RP),E(U-B),s_E(U-B),E(U-BP),s_E(U-BP),E(U-G),s_E(U-G),E(U-RP),s_E(U-RP)
NGC_1708,0.3601,0.0414823633931175,1.11631,0.12859532651866426,1.5098341,0.0298341,0.51635,0.0303851035989643,0.3126,0.00760000000000001,0.5251,0.0151,0.6976,0.00760000000000001,1.1151,0.0550999999999999
NGC_1750,0.29635,0.0109253175473055,0.9186850000000001,0.03386848439664705,1.4,,0.49385,0.0199037243971936,0.2351,0.00509999999999999,0.4376,0.0176,0.6026,0.00760000000000001,0.9151,0.0301
NGC_1758,0.29635,0.0135047566184545,0.9186850000000001,0.04186474551720895,1.033525615,0.026474385,0.4426,0.0168705098312484,0.2351,0.0001,0.4276,0.0026,0.5926,0.0026,0.8901,0.0151
NGC_1778,0.36885,0.00749509972887453,1.143435,0.023234809159511045,1.195269755,0.164730245000001,0.58635,0.0195855715851498,0.2651,0.0001,0.5251,0.0101,0.7851,0.0251,1.0876,0.0326000000000001
NGC_1798,0.4851,0.00622372435695795,1.5038099999999999,0.019293545506569646,1.551110895,0.0788891049999999,0.7326,0.0144614066163451,0.2301,0.0201,0.5526,0.0376,0.8786,0.0016,1.2951,0.0500999999999999
NGC_1857,0.45135,0.00554862367942585,1.399185,0.017200733406220133,1.390027585,0.119972415,0.68635,0.00659519052838325,0.2401,0.0151,0.5376,0.0126,0.8151,0.0301,1.2351,0.0200999999999999
NGC_189,0.5776,0.0115564392373896,1.7905600000000002,0.03582496163590776,1.67816786,0.09816786,0.60635,0.12366046090882,0.3951,0.0001,0.7251,0.0701,1.0351,0.1451,1.4026,0.2076
NGC_1893,0.3876,0.0115564392373896,1.20156,0.03582496163590776,1.41104304,0.11104304,0.5826,0.0044301270189222,0.0176,0.0126,0.2451,0.0401,0.5026,0.0876000000000002,0.8676,0.0826
NGC_1901,0.08135,0.00554862367942584,0.25218500000000005,0.017200733406220105,0.217119195,0.092880805,0.1226,0.0109972473588517,0.0451,0.0101,0.0776,0.0026,0.1201,0.0151,0.2126,0.0176
NGC_1907,0.4001,0.0315245127249414,1.24031,0.09772598944731835,1.20325335,0.08674665,0.60885,0.0239156986040721,0.2751,0.0001,0.5351,0.0101,0.8276,0.0026,1.0801,0.0401
NGC_1977,0.0526,0.0026,0.16306,0.00806,0.05,,0.3126,0.00839156197588851,0.0001,0.0001,0.0001,0.0001,0.0426,0.0426,0.1401,0.1001
NGC_1980,0.1051,0.0001,0.32581,0.00031,0.75480823,0.24519177,0.2426,0.0104077640640442,0.0926,0.0376,0.1726,0.0526000000000001,0.2551,0.0651000000000001,0.4176,0.1076
NGC_1981,0.05135,0.0239156986040721,0.159185,0.07413866567262352,0.39486479,0.16513521,0.1901,0.0001,0.0226,0.0226,0.0851,0.0201,0.1576,0.0376,0.2401,0.0601
NGC_2112,0.43385,0.0244349029174147,1.344935,0.07574819904398558,2.24338183,0.05338183,0.70635,0.0217145205822382,0.4451,0.00510000000000001,0.7826,0.0376,1.0451,0.0401,1.4076,0.0376
NGC_2126,0.23135,0.0144069039278245,0.7171850000000001,0.04466140217625595,0.55893344,0.21106656,0.34135,0.0125373429638327,0.1426,0.00259999999999999,0.2901,0.00510000000000001,0.4251,0.0101,0.6651,0.0301
NGC_2129,0.2901,0.00945414346693484,0.89931,0.029307844747498004,0.82666336,0.04333664,0.4151,0.0001,0.1801,0.0001,0.3801,0.0101,0.5326,0.0026,0.8001,0.0151
NGC_2141,0.2526,0.00839156197588851,0.78306,0.02601384212525438,1.006302415,0.0536975850000001,0.4251,0.0376832409459323,0.1776,0.0026,0.3451,0.00509999999999998,0.5301,0.00510000000000001,0.7751,0.0251
NGC_2158,0.3901,0.0155110350074224,1.20931,0.048084208523009445,1.37033018,0.000330179999999958,0.53135,0.0022650635094611,0.2151,0.0101,0.4376,0.0376,0.6876,0.0826000000000001,1.0076,0.0776
NGC_2169,0.1651,0.0101,0.51181,0.03131,0.68024388,0.0997561199999999,0.3126,0.0130903810567666,0.1301,0.0001,0.2601,0.00510000000000001,0.3776,0.0176,0.5351,0.055100000000001
NGC_2180,0.28385,0.00424578098794423,0.879935,0.013161921062627114,0.73838773,0.10161227,0.4551,0.00717106781186548,0.2176,0.0026,0.3951,0.00510000000000001,0.5801,0.0101,0.8351,0.0201
NGC_2184,0.1501,0.0001,0.46531000000000006,0.00031,0.3739648,0.1660352,0.21135,0.0139631706330118,0.1101,0.0001,0.1901,0.0101,0.2826,0.0226,0.4051,0.0201
NGC_2186,0.2876,0.00569016994374946,0.8915600000000001,0.017639526825623326,0.765068675,0.164931325000001,0.4301,0.0146773797371133,0.2176,0.0026,0.3976,0.00760000000000001,0.5901,0.00510000000000001,0.8201,0.0151
NGC_2192,0.2126,0.0130903810567666,0.6590600000000001,0.040580181275976464,0.429852285,0.240147715,0.24385,0.0168238602003246,0.1551,0.0151,0.2601,0.00510000000000001,0.3651,0.0351,0.5801,0.0800999999999994
NGC_2194,0.4551,0.012847548783982,1.4108100000000001,0.0398274012303442,1.377870435,0.112129565,0.6826,0.00443012701892215,0.2751,0.00510000000000001,0.5576,0.0126,0.8551,0.0351,1.2876,0.0626
NGC_2202,0.1326,0.00569016994374948,0.41106,0.017639526825623388,0.41823751,0.16176249,0.2276,0.0109972473588517,0.1201,0.0101,0.1951,0.00510000000000001,0.2851,0.0001,0.4001,0.0251
NGC_2215,0.21635,0.00749509972887453,0.670685,0.023234809159511045,0.63454111,0.05545889,0.3226,0.0144614066163451,0.1651,0.00510000000000001,0.3001,0.0001,0.4151,0.0101,0.6351,0.0101
NGC_2225,0.4101,0.0142421356237309,1.2713100000000002,0.04415062043356579,1.2589359,0.0689359000000001,0.6001,0.0137930639376292,0.3826,0.0026,0.6676,0.00760000000000001,0.9226,0.0026,1.2801,0.0101
NGC_2232,0.00135,0.0022650635094611,0.004185,0.00702169687932941,0.337463525,0.202536475,0.0851,0.00717106781186548,0.0126,0.0026,0.0226,0.0176,0.0351,0.0351,0.0776,0.0476
NGC_2236,0.49385,0.0144069039278245,1.5309350000000002,0.04466140217625595,1.43556073,0.05443927,0.7351,0.0123474487139159,0.3426,0.00259999999999997,0.6701,0.0001,1.0001,0.00509999999999995,1.4176,0.0326
NGC_2237,0.41385,0.0171934929139717,1.282935,0.05329982803331228,1.455307825,0.175307825,0.62385,0.0109253175473055,0.2151,0.0151,0.5176,0.0376,0.7301,0.0251,1.1626,0.0526
NGC_2243,0.11635,0.0114880419739304,0.360685,0.03561293011918425,0.34982453,0.32017547,0.1451,0.00363553390593273,0.0026,0.0026,0.0526,0.0126,0.1251,0.0301,0.2501,0.0651000000000001
NGC_2244,0.41385,0.0171934929139717,1.282935,0.05329982803331228,1.455307825,0.175307825,0.62385,0.0109253175473055,0.2151,0.0151,0.5176,0.0376,0.7301,0.0251,1.1626,0.0526
NGC_225,0.2501,0.00622372435695795,0.7753099999999999,0.019293545506569646,0.90736794,0.14263206,0.3851,0.0087602540378444,0.1951,0.00510000000000001,0.3601,0.00510000000000001,0.5126,0.0176,0.7301,0.0151
NGC_2251,0.2251,0.00622372435695794,0.69781,0.019293545506569615,0.66700576,0.08299424,0.37885,0.00554862367942585,0.1801,0.0001,0.3251,0.00510000000000001,0.4801,0.0101,0.6876,0.0276
