  pmRApmDEcor    PlxpmRAcor   PlxpmDEcor    RFG        RFBP          RFRP       E_BR_RP_      Nper          __Fe_H_temp    RA_ICRS       e_RA_ICRS         DE_ICRS       e_DE_ICRS         Source        Plx         e_Plx         pmRA        e_pmRA        pmDE        e_pmDE        Dup          FG          e_FG    Gmag        e_Gmag         FBP      e_FBP       BPmag       e_BPmag        FRP         e_FRP          RPmag      e_RPmag    BP-RP       RV      e_RV    Teff     AG    EBR-RP_    Rad     Lum    Pmemb    Cluster    
 0.1106 -0.4373  0.2919  2847.445   354.893   841.832 1.357 10  --- 277.71422279617 0.0355 -12.49153455388 0.0411 4153027633439574272   0.3799  0.0525  -0.425 0.062  -1.055 0.053 0     28688.0       10.075   14.5441 0.0004      8469.3         23.864    15.5318 0.0031      30464.0       36.188    13.5524 0.0013  1.9793    ---   ---  3781.25 1.6185 0.804    ---      ---     0.1   Dias_6 
 0.4662 -0.358   0.1307   573.529    37.434    72.52  1.516 11  --- 277.73674728663 0.1414 -12.39825372367 0.1395 4153030794512654208   0.3724  0.1501   1.2   0.278  -0.577 0.265 0      1480.0        2.5804  17.7627 0.0019       693.33        18.522    18.249  0.029        1550.5       21.38     16.7858 0.015   1.4633    ---   ---     ---  ---    ---      ---      ---     0.2   Dias_6 
 0.6988 -0.4234 -0.1293   630.586    55.439    82.248 1.423 10  --- 277.70568134427 0.2168 -12.41282151906 0.2112 4153030377898048256   0.3441  0.1753   0.274 0.408  -0.878 0.372 0      1526.5        2.4208  17.7291 0.0017       575.97        10.389    18.4504 0.0196       1596.2       19.407    16.7542 0.0132  1.6962    ---   ---     ---  ---    ---      ---      ---     0.4   Dias_6 
 0.3878 -0.3524  0.0879   317.34     84.597   206.171 1.568 11  --- 277.69973797537 0.11   -12.45536643477 0.1083 4153028007076026496   0.3412  0.1187   0.267 0.208  -0.495 0.183 0      3256.0       10.26    16.9067 0.0034       865.14        10.227    18.0087 0.0128       4239.8       20.564    15.6936 0.0053  2.3151    ---   ---  3786.15 ---    ---      ---      ---     0.6   Dias_6 
 0.2958 -0.4887  0.1367   674.331    29.781    59.084 1.606  9  --- 277.78786931778 0.1293 -12.39772037929 0.1308 4153030107317613184   0.3683  0.1571   0.152 0.248  -0.81  0.209 0      1649.5        2.4461  17.645  0.0016       788.47        26.476    18.1094 0.0365       1861.3       31.503    16.5874 0.0184  1.5221    ---   ---     ---  ---    ---      ---      ---     0.2   Dias_6 
 0.3568 -0.2868  0.084   1274.583   119.141   208.067 1.303 11  --- 277.68267890345 0.0644 -12.45806301056 0.0624 4153027977037015808   0.4752  0.0669   0.194 0.124  -0.972 0.111 0      5371.7        4.2144  16.3631 0.0009      2286.4         19.191    16.9535 0.0091       4713.4       22.653    15.5786 0.0052  1.3749    ---   ---  4740.69 1.8605 0.9415   1.56     1.109   0.4   Dias_6 
 0.6206 -0.3565 -0.0268   692.107    45.913    30.78  1.638 10  --- 277.64361812311 0.1349 -12.43810592416 0.1323 4153029007803958912   0.5231  0.1231   0.377 0.255  -1.409 0.235 0      1826.7        2.6393  17.5342 0.0016       681.47        14.843    18.2678 0.0236       2310.2       75.056    16.3528 0.0353  1.915     ---   ---     ---  ---    ---      ---      ---     0.1   Dias_6 
 0.3179 -0.4387  0.1807  1674.692   278.71    193.865 1.279 10  --- 277.75015158745 0.0442 -12.37023713493 0.0441 4153030996373447040   0.2883  0.0518   0.748 0.087  -0.381 0.079 0     13733.0        8.2004  15.3439 0.0006      6784.7         24.343    15.7726 0.0039      10777.0       55.591    14.6807 0.0056  1.0919    ---   ---  5017.27 ---    ---      ---      ---     0.5   Dias_6 
 0.5202 -0.4042 -0.0293  1017.606    75.357   131.576 1.382 10  --- 277.73451421454 0.1044 -12.44733850093 0.1028 4153029244026623616   0.387   0.1012   0.254 0.192  -0.816 0.17  0      2598.7        2.5537  17.1515 0.0011      1034.0         13.721    17.8151 0.0144       2558.3       19.444    16.242  0.0083  1.5731    ---   ---     ---  ---    ---      ---      ---     0.5   Dias_6 
 0.7371 -0.4386 -0.1769   492.408    16.466    17.886 1.819 10  --- 277.69515606966 0.2197 -12.42888589969 0.2142 4153030279114170624   0.2072  0.1664  -0.18  0.407  -0.249 0.373 0      1213.7        2.4649  17.9781 0.0022       502.15        30.496    18.5993 0.0659       1705.5       95.351    16.6823 0.0607  1.917     ---   ---     ---  ---    ---      ---      ---     0.2   Dias_6 
